CO,50,1000,9.30E-08,-3.56E-04,3.94E+00,-2.19E+02,4.31E+04,-2.27E+06,2.34E+07
CO,1000,3000,5.65E-05,-2.29E-02,6.39E+00,-8.93E+01,2.62E+03,-4.15E+04,2.81E+05
CO,3000,6000,2.80E-04,-5.56E-02,8.22E+00,-1.34E+02,2.83E+03,-3.18E+04,1.52E+05
CO2,50,1000,-6.54E-07,2.74E-03,-2.76E-01,1.96E+03,-2.77E+05,2.13E+07,-6.66E+08
CO2,1000,3000,6.86E-05,-3.58E-02,1.05E+01,-1.50E+02,4.52E+03,-7.62E+04,5.56E+05
CO2,3000,6000,-9.73E-04,1.57E-01,-4.49E+00,4.75E+02,-1.03E+04,1.12E+05,-4.54E+05
N2,50,1000,6.03E-08,-2.25E-04,3.76E+00,-1.17E+02,1.73E+04,2.38E+05,-6.12E+07
N2,1000,3000,6.53E-05,-2.44E-02,6.32E+00,-7.79E+01,2.06E+03,-2.93E+04,1.78E+05
N2,3000,6000,2.38E-04,-4.92E-02,7.69E+00,-1.12E+02,2.31E+03,-2.53E+04,1.18E+05
NO,50,1000,1.35E-07,-5.33E-04,4.20E+00,-3.84E+02,8.89E+04,-7.12E+06,1.99E+08
NO,1000,3000,3.99E-05,-1.88E-02,6.19E+00,-8.60E+01,2.72E+03,-4.57E+04,3.28E+05
NO,3000,6000,-8.21E-04,1.21E-01,-3.32E+00,2.67E+02,-4.91E+03,4.65E+04,-1.67E+05
NO2,50,1000,-2.70E-07,9.84E-04,2.96E+00,2.59E+02,8.21E+04,-1.27E+07,5.14E+08
NO2,1000,3000,2.47E-05,-2.09E-02,8.63E+00,-4.35E+01,-1.27E+03,9.06E+04,-1.12E+06
NO2,3000,6000,-1.91E-03,2.74E-01,-8.71E+00,4.16E+02,-4.81E+03,2.45E+04,-4.72E+04
N2O,50,1000,-4.53E-07,2.12E-03,1.53E-01,1.98E+03,-2.98E+05,2.40E+07,-7.78E+08
N2O,1000,3000,-1.09E-06,-1.64E-02,9.16E+00,-1.84E+02,1.31E+04,-4.37E+05,4.67E+06
N2O,3000,6000,1.86E-03,-3.15E-01,2.57E+01,-4.08E+02,1.44E+03,2.72E+04,-1.82E+05
O2,50,1000,1.29E-07,-5.45E-04,4.29E+00,-4.99E+02,1.36E+05,-1.30E+07,4.38E+08
O2,1000,3000,4.94E-05,-2.64E-02,8.28E+00,-3.00E+02,1.31E+04,-2.60E+05,2.01E+06
O2,3000,6000,1.79E-03,-2.29E-01,1.51E+01,-2.17E+02,2.24E+03,-3.41E+03,-6.09E+04
O3,50,1000,-8.18E-07,3.10E-03,3.46E-01,1.51E+03,-1.26E+05,2.37E+06,1.12E+08
O3,1000,3000,1.43E-03,-4.60E-01,5.94E+01,-2.35E+03,3.95E+03,2.52E+06,-4.55E+07
O3,3000,6000,3.11E-01,-4.33E+01,2.41E+03,-6.83E+04,1.05E+06,-8.52E+06,2.83E+07
