Molecule,Tmin,Tmax,a1,a2,a3,a4,a5,a6,a7
CH3Br,298.15,1000.0,102731.42330174636,-470.4196627885652,1.0420229794544948,0.02013598973727386,-2.0363425318827495e-05,1.2344884682460966e-08,-3.2121887124502984e-12
CH3Br,1000.0,5000.0,2650713.4126798627,-10464.743697865668,19.02819933582889,-0.0019812907077747578,3.8693485790131805e-07,-4.0655539191381575e-11,1.798125011192227e-15
CLO,298.15,1000.0,7072.741183572917,-43.21297913350454,3.686259655535797,0.0026075369521470987,-3.4953546681542967e-06,2.2574767603217455e-09,-5.732207576185046e-13
CLO,1000.0,5000.0,124895.21572183097,-484.0055240402727,4.984561369248231,-0.00023385072870873636,6.417325418287084e-08,-8.065905034038644e-12,3.6858708273260887e-16
C2N2,298.15,1000.0,40157.86590205041,-1181.1859454139708,12.221755179043832,-0.010689520429522264,1.852588443250893e-05,-1.325074156759153e-08,3.5149034549210173e-12
C2N2,1000.0,5000.0,641572.1277485733,-3623.6118592862895,12.8524786756855,-0.0008493429988147334,1.7639348152339074e-07,-1.9438150685156523e-11,8.842359671291116e-16
N2O,298.15,1000.0,-2779.2838288357616,-180.01105913683855,4.111674198880072,0.004431555852800541,-1.707703367109782e-06,-1.828833648056749e-10,1.7007075182581024e-13
N2O,1000.0,5000.0,24677433.341937393,-76550.22497940168,93.89788100622367,-0.04535400362198586,1.1333963620001606e-05,-1.4194256061029296e-09,7.108057817825382e-14
HI,298.15,1000.0,-43546.35974312743,353.8447098541438,2.8205302168338973,-0.0012791812689380902,5.399689250687167e-06,-4.5406275382912985e-09,1.2772438750698119e-12
HI,1000.0,6000.0,-363273.4899355232,615.5227687437733,2.7953270297314554,0.0012402414561739862,-3.372504014152922e-07,3.7593181189942405e-11,-1.6277413124151652e-15
CO2,298.15,1000.0,128197.93304247338,-1459.4161595705443,8.785284493910993,-0.004912434859993896,8.324364764048102e-06,-5.82903365363979e-09,1.4982998577958595e-12
CO2,1000.0,5000.0,309401.4204276431,-4114.983918242948,13.137435168177957,-0.004216405212747376,1.7174302176336163e-06,-3.489396712888484e-10,2.4414144223814144e-14
SF6,298.15,1000.0,639133.2902597956,-8338.791843228375,39.36060766429056,-0.030296218805150803,2.7811362679958655e-05,-1.449443528696383e-08,3.2764630702003056e-12
SF6,1000.0,5000.0,-712557.6591197826,-687.437469310848,19.527105464311557,-0.00021447025503611985,5.1037994074343885e-08,-6.281405129784815e-12,3.1780164374643076e-16
H2O,298.15,1000.0,-38576.964818278866,535.7816918783451,1.2231208545444108,0.0063605942844977776,-6.125314856570332e-06,4.140322174557808e-09,-1.1327812212761305e-12
H2O,1000.0,5000.0,7026835.077183224,-21173.876999337837,27.944523045466333,-0.012273069142668408,4.0939692672218495e-06,-6.786900912174196e-10,4.157132965798473e-14
CH3F,298.15,1000.0,37437.3007580592,768.0260188633686,-5.679955362069938,0.031758454941432236,-2.988205232804592e-05,1.6076001892278994e-08,-3.743942940027482e-12
CH3F,1000.0,5000.0,2605974.1324678506,-11035.535874045478,19.546428998285588,-0.002188112388554895,4.482320404478152e-07,-4.517408082321074e-11,1.9862900819087477e-15
HCOOH,298.15,1000.0,56546.06918456129,39.73219754236119,-1.624776137863081,0.028982827519010334,-3.1152605583399964e-05,1.817164870632573e-08,-4.395125944875849e-12
HCOOH,1000.0,5000.0,1823287.3538799053,-7960.190632022823,17.295210080139608,-0.0012988983990388162,2.442003649631297e-07,-2.453086542419718e-11,1.0360722412786012e-15
HOCL,298.15,1000.0,39155.85461775115,-331.9551277345986,3.986847651527668,0.005488955452254829,-6.275714636888497e-06,4.176736033249573e-09,-1.136372183209455e-12
HOCL,1000.0,5000.0,1052595.1846154793,-3778.11772608051,9.355370176570833,-0.0008487136561496725,1.9090699386504328e-07,-2.313672860193775e-11,1.1806926032716304e-15
NF3,298.15,1000.0,304061.23582209623,-3403.5900530672143,15.648042744531118,-0.0045053547392898486,9.840169238457932e-07,8.165172925915926e-10,-4.0704394731780397e-13
NF3,1000.0,5000.0,-368723.39898834546,-420.56942589610895,10.31147183690977,-0.00011103540041542945,2.8309160452403335e-08,-3.4590215742576697e-12,1.6968804589190173e-16
H2CO,298.15,1000.0,217891.69402980278,-1934.874068947446,10.13735583675015,-0.011871662378897481,2.404514658839628e-05,-1.7907200793027937e-08,4.7860440989608895e-12
H2CO,1000.0,3500.0,2998486.8756962046,-11787.108387318567,20.091247046692125,-0.005182377688770145,1.607912592988638e-06,-2.7303924220041814e-10,1.949368587854409e-14
CO,298.15,1000.0,-51435.55472409984,460.9612864115609,2.2886384319427227,-0.00011895677102728853,4.316359703365696e-06,-4.154623252783252e-09,1.249728730705562e-12
CO,1000.0,6000.0,269053.47171169013,-1418.287321572905,5.351082980441198,-0.00025843996044286625,4.959999002950992e-08,-4.234254907115446e-12,1.26235994473732e-16
